experiment_id,claim,dataset,method,metric,value,run_id,provenance
signal,C1,G1-linked(synthetic),synapse,bytes_first_half,48.4,signal_20260620_152728,pre-registered
signal,C1,G1-linked(synthetic),synapse,bytes_second_half,37.2,signal_20260620_152728,pre-registered
signal,C1,negative(synthetic),synapse,bytes_first_half,54.67,signal_20260620_152728,pre-registered
signal,C1,negative(synthetic),synapse,bytes_second_half,70.0,signal_20260620_152728,pre-registered
signal,C1,G1-linked(synthetic),synapse,hit_rate,0.9,signal_20260620_152728,pre-registered
signal,C1,negative(synthetic),synapse,hit_rate,0.167,signal_20260620_152728,pre-registered
m7,memory-reuse,G-linked(synthetic),g1,mean_nontext_bytes,52.0,m7_20260620_214354,pre-registered
m7,memory-reuse,G-linked(synthetic),g1,hit_rate,0.8,m7_20260620_214354,pre-registered
m7,memory-reuse,G-linked(synthetic),g2,mean_nontext_bytes,49.6,m7_20260620_214354,pre-registered
m7,memory-reuse,G-linked(synthetic),g2,hit_rate,1.0,m7_20260620_214354,pre-registered
coqa,memory-reuse,CoQA(real),text,llm_total_tokens,20224,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),text,f1,0.7333,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),text,hit_rate,0.0,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),synapse,llm_total_tokens,18558,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),synapse,f1,0.7477,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),synapse,hit_rate,0.921,coqa_20260621_111342,post-hoc
coqa,memory-reuse,CoQA(real),synapse,token_saved_pct,8.24,coqa_20260621_111342,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,token_saved_pct,73.77,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,token_saved_std,0.01,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),text,f1,0.6961,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,f1,0.5843,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,paired_dF1,-0.1118,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,dF1_ci_lo,-0.1726,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,dF1_ci_hi,-0.0537,hotpot_stats_20260621_182630,post-hoc
hotpot-k3-single,comm-efficiency,HotpotQA(real),synapse,gold_recall,0.78,hotpot_stats_20260621_182630,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k3,token_saved_pct,73.76,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k3,gold_recall,0.78,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k3,paired_dF1,-0.12,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k3,dF1_ci_lo,-0.2289,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k3,dF1_ci_hi,-0.0099,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k4,token_saved_pct,65.41,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k4,gold_recall,0.82,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k4,paired_dF1,-0.0968,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k4,dF1_ci_lo,-0.2068,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k4,dF1_ci_hi,0.0131,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k5,token_saved_pct,56.64,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k5,gold_recall,0.84,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k5,paired_dF1,-0.0729,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k5,dF1_ci_lo,-0.1764,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k5,dF1_ci_hi,0.0359,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k6,token_saved_pct,46.88,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k6,gold_recall,0.91,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k6,paired_dF1,-0.0432,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k6,dF1_ci_lo,-0.1428,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k6,dF1_ci_hi,0.0604,hotpot_ksweep_20260621_183504,post-hoc
hotpot-single-N50,comm-efficiency,hotpot(real),single-k8,token_saved_pct,24.92,hotpot_ksweep_20260621_183504,post-hoc
